Matrix_iterations,Hidden,Lambda,Start time,End time,Execution time,train_accuracy,validation_accuracy,test_accuracy
150,92,45,14:24:22,14:28:38,255.91,95.84%,95.28%,95.70%
150,92,50,14:28:38,14:32:45,246.96,95.70%,95.03%,95.77%
150,92,55,14:32:45,14:37:03,258.25,95.51%,94.95%,95.58%
150,92,60,14:37:03,14:41:34,271.35,95.19%,94.77%,95.21%
150,96,0,14:41:34,14:46:43,308.66,99.62%,97.36%,97.53%
150,96,5,14:46:43,14:51:24,280.95,98.97%,97.37%,97.49%
150,96,10,14:51:24,14:55:44,260.22,98.57%,97.10%,97.46%
150,96,15,14:55:44,15:00:04,259.59,98.14%,97.03%,97.31%
150,96,20,15:00:04,15:04:38,274.39,97.61%,96.51%,96.84%
150,96,25,15:04:38,15:09:07,268.66,97.26%,96.42%,96.70%
150,96,30,15:09:07,15:14:01,294.34,96.88%,96.07%,96.56%
150,96,35,15:14:01,15:18:38,277.21,96.55%,95.85%,96.32%
150,96,40,15:18:38,15:23:01,262.6,96.27%,95.55%,96.13%
150,96,45,15:23:01,15:27:32,270.81,96.05%,95.38%,95.96%
150,96,50,15:27:32,15:32:25,293.62,95.71%,95.10%,95.63%
150,96,55,15:32:25,15:36:48,262.95,95.53%,94.98%,95.52%
150,96,60,15:36:48,15:41:17,268.97,95.24%,94.55%,95.21%
150,100,0,15:41:17,15:46:43,326.02,99.34%,97.33%,97.51%
150,100,5,15:46:43,15:51:31,287.27,98.85%,97.22%,97.45%
150,100,10,15:51:31,15:56:21,290.58,98.56%,97.26%,97.60%
150,100,15,15:56:21,16:01:25,303.82,98.04%,96.82%,97.26%
150,100,20,16:01:25,16:06:12,286.9,97.70%,96.71%,96.99%
150,100,25,16:06:12,16:10:54,281.97,97.36%,96.49%,96.72%
150,100,30,16:10:54,16:15:44,290.09,96.76%,95.93%,96.48%
150,100,35,16:15:44,16:20:14,270.25,96.53%,95.86%,96.34%
150,100,40,16:20:14,16:25:15,301,96.31%,95.68%,96.06%
150,100,45,16:25:15,16:29:55,279.47,95.97%,95.34%,95.86%
150,100,50,16:29:55,16:34:37,282.75,95.69%,95.10%,95.62%
150,100,55,16:34:37,16:39:23,285.17,95.29%,94.72%,95.21%
150,100,60,16:39:23,16:44:00,277.43,95.25%,94.71%,95.27%
